arm absolute position,arm absolute position filtered,arm position
36.03515625,36.03515625,21.88916015625
36.03515625,36.03515625,21.88916015625
36.03515625,36.03515625,21.88916015625
36.03515625,36.03515625,21.88916015625
36.03515625,36.03515625,21.88916015625
36.03515625,36.03515625,21.88916015625
36.03515625,36.03515625,21.88916015625
36.03515625,36.03515625,21.88916015625
36.03515625,36.03515625,21.88916015625
54.052734375,49.482421875,33.0128173828125
54.052734375,49.482421875,33.0128173828125
54.052734375,49.482421875,33.0128173828125
54.052734375,49.482421875,33.0128173828125
54.052734375,49.482421875,33.0128173828125
54.052734375,49.482421875,33.0128173828125
54.052734375,49.482421875,33.0128173828125
54.052734375,49.482421875,33.0128173828125
54.052734375,49.482421875,33.0128173828125
59.501953125,59.501953125,39.30029296875
59.501953125,59.501953125,39.30029296875
59.501953125,59.501953125,39.30029296875
59.501953125,59.501953125,39.30029296875
59.501953125,59.501953125,39.30029296875
59.501953125,59.501953125,39.30029296875
59.501953125,59.501953125,39.30029296875
59.501953125,59.501953125,39.30029296875
59.501953125,59.501953125,39.30029296875
59.501953125,59.501953125,39.30029296875
69.2578125,65.21484375,47.00610351562501
69.2578125,65.21484375,47.00610351562501
69.2578125,65.21484375,47.00610351562501
69.2578125,65.21484375,47.00610351562501
69.2578125,65.21484375,47.00610351562501
69.2578125,65.21484375,47.00610351562501
69.2578125,65.21484375,47.00610351562501
69.2578125,65.21484375,47.00610351562501
69.2578125,65.21484375,47.00610351562501
74.00390625,71.3671875,52.1663818359375
74.00390625,71.3671875,52.1663818359375
74.00390625,71.3671875,52.1663818359375
74.00390625,71.3671875,52.1663818359375
74.00390625,71.3671875,52.1663818359375
74.00390625,71.3671875,52.1663818359375
74.00390625,71.3671875,52.1663818359375
74.00390625,71.3671875,52.1663818359375
74.00390625,71.3671875,52.1663818359375
74.00390625,71.3671875,52.1663818359375
78.57421875,75.849609375,57.03662109375001
78.57421875,75.849609375,57.03662109375001
78.57421875,75.849609375,57.03662109375001
78.57421875,75.849609375,57.03662109375001
78.57421875,75.849609375,57.03662109375001
78.57421875,75.849609375,57.03662109375001
78.57421875,75.849609375,57.03662109375001
78.57421875,75.849609375,57.03662109375001
78.57421875,75.849609375,57.03662109375001
82.529296875,81.123046875,60.927978515625
82.529296875,81.123046875,60.927978515625
82.529296875,81.123046875,60.927978515625
82.529296875,81.123046875,60.927978515625
82.529296875,81.123046875,60.927978515625
82.529296875,81.123046875,60.927978515625
